City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Martapura,ID,2020-08-23 00:27:04,-3.42,114.85,78.8,83,44,3.78
111,Nanortalik,GL,2020-08-23 00:27:04,60.14,-45.24,45.46,77,4,2.06
112,Severo-Kurilsk,RU,2020-08-23 00:27:04,50.68,156.12,54.61,71,29,11.97
113,Tasiilaq,GL,2020-08-23 00:23:34,65.61,-37.64,42.8,68,61,9.17
114,Oyama,JP,2020-08-23 00:27:05,36.3,139.8,84.99,88,75,8.05
115,Esperance,AU,2020-08-23 00:27:05,-33.87,121.9,53.6,87,75,10.29
116,Cheney,US,2020-08-23 00:25:15,47.49,-117.58,80.6,21,98,10.29
117,Alofi,NU,2020-08-23 00:27:06,-19.06,-169.92,80.6,74,43,16.11
118,Arraial Do Cabo,BR,2020-08-23 00:27:06,-22.97,-42.03,66.49,64,84,11.63
119,Ekhabi,RU,2020-08-23 00:27:06,53.51,142.97,60.64,58,99,5.41
120,Mosetse,BW,2020-08-23 00:27:06,-20.75,26.65,52.77,74,0,12.48
121,Aykhal,RU,2020-08-23 00:27:06,66.0,111.5,48.2,66,12,2.24
122,Lisakovsk,KZ,2020-08-23 00:27:07,52.54,62.49,51.73,93,0,6.31
123,Faanui,PF,2020-08-23 00:23:30,-16.48,-151.75,76.86,79,9,19.35
124,Ouesso,CG,2020-08-23 00:27:07,1.61,16.05,72.5,90,100,0.4
125,Lagoa,PT,2020-08-23 00:27:07,39.05,-27.98,72.66,83,48,10.4
126,Khatanga,RU,2020-08-23 00:24:05,71.97,102.5,55.24,60,4,7.81
127,Mossendjo,CG,2020-08-23 00:27:08,-2.95,12.73,67.03,98,90,1.74
128,Acapulco,MX,2020-08-23 00:27:08,16.86,-99.89,86.0,74,40,4.7
129,Hobart,AU,2020-08-23 00:23:25,-42.88,147.33,48.99,87,75,16.11
130,Lokosovo,RU,2020-08-23 00:27:08,61.13,74.82,46.76,95,43,4.14
131,Yulara,AU,2020-08-23 00:27:09,-25.24,130.99,60.8,36,0,10.29
132,Bengkulu,ID,2020-08-23 00:27:09,-3.8,102.27,75.96,85,70,3.87
133,Penzance,GB,2020-08-23 00:27:09,50.12,-5.54,59.0,87,4,16.11
134,Saint-Pierre,RE,2020-08-23 00:27:09,-21.34,55.48,66.2,55,0,8.05
135,Dicabisagan,PH,2020-08-23 00:27:09,17.08,122.42,83.73,73,99,1.39
136,Yumen,CN,2020-08-23 00:27:10,40.28,97.2,67.23,38,10,11.97
137,Manzhouli,CN,2020-08-23 00:27:10,49.6,117.43,63.05,75,93,2.46
138,Zhanaozen,KZ,2020-08-23 00:26:51,43.3,52.8,64.4,60,77,27.13
139,Surakarta,ID,2020-08-23 00:27:10,-7.56,110.83,76.57,77,10,6.96
140,Sao Jose Da Coroa Grande,BR,2020-08-23 00:27:10,-8.9,-35.15,74.3,83,28,9.19
141,Dikson,RU,2020-08-23 00:27:11,73.51,80.55,48.13,75,96,8.05
142,Qasigiannguit,GL,2020-08-23 00:27:11,68.82,-51.19,44.6,75,0,2.24
143,Coahuayana,MX,2020-08-23 00:27:12,18.73,-103.68,75.2,88,90,4.23
144,Takoradi,GH,2020-08-23 00:27:12,4.88,-1.76,74.44,92,6,6.85
145,Arkhara,RU,2020-08-23 00:27:12,49.42,130.08,64.54,72,85,4.38
146,Barrow,US,2020-08-23 00:25:24,71.29,-156.79,42.8,87,90,21.92
147,Adrar,MR,2020-08-23 00:22:51,20.5,-10.07,99.1,10,27,5.57
148,Mozelos,PT,2020-08-23 00:27:13,41.87,-8.4,64.0,100,14,5.82
149,Mackay,AU,2020-08-23 00:27:13,-21.15,149.2,68.0,34,33,14.99
150,Atuona,PF,2020-08-23 00:27:13,-9.8,-139.03,78.31,78,41,17.76
151,Boyolangu,ID,2020-08-23 00:27:13,-8.12,111.89,76.87,81,80,5.84
152,Noumea,NC,2020-08-23 00:27:14,-22.28,166.46,78.01,78,75,6.93
153,Aboisso,CI,2020-08-23 00:27:14,5.47,-3.21,72.72,95,21,4.18
154,Maceio,BR,2020-08-23 00:27:14,-9.67,-35.74,69.8,94,40,9.75
155,Mbanza-Ngungu,CD,2020-08-23 00:27:14,-5.25,14.87,70.34,79,75,6.62
156,Longyearbyen,SJ,2020-08-23 00:27:14,78.22,15.64,37.4,72,62,10.29
157,Emba,KZ,2020-08-23 00:27:15,48.83,58.14,63.21,47,100,6.87
158,Pangnirtung,CA,2020-08-23 00:22:50,66.15,-65.71,50.97,64,1,2.86
