City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
63,Acari,-15.43,-74.62,60.75,70,57,4.0,PE,2020-08-23 23:39:06,broken clouds
64,Luganville,-15.53,167.17,82.4,83,75,9.17,VU,2020-08-23 23:34:58,broken clouds
65,Chokurdakh,70.63,147.92,36.66,81,100,10.56,RU,2020-08-23 23:34:09,overcast clouds
66,Salalah,17.02,54.09,77.0,94,90,6.93,OM,2020-08-23 23:34:07,light intensity drizzle
67,Lashio,22.93,97.75,69.19,100,99,0.92,MM,2020-08-23 23:39:07,light rain
68,Cherskiy,68.75,161.3,38.86,93,100,10.33,RU,2020-08-23 23:39:07,light rain
69,Busselton,-33.65,115.33,43.0,86,0,5.01,AU,2020-08-23 23:38:04,clear sky
70,Kumluca,36.37,30.29,82.94,42,0,5.21,TR,2020-08-23 23:39:07,clear sky
71,Butaritari,3.07,172.79,83.25,68,68,8.08,KI,2020-08-23 23:39:08,broken clouds
72,Sao Filipe,14.9,-24.5,79.11,84,77,7.85,CV,2020-08-23 23:34:14,broken clouds
73,Albany,42.6,-73.97,71.01,91,23,3.36,US,2020-08-23 23:34:10,moderate rain
74,Qaanaaq,77.48,-69.36,36.5,88,100,2.93,GL,2020-08-23 23:39:09,light rain
75,Cayenne,4.93,-52.33,77.0,100,75,2.24,GF,2020-08-23 23:34:38,broken clouds
76,Marystown,47.17,-55.15,63.0,100,1,12.03,CA,2020-08-23 23:37:33,clear sky
77,Igarka,67.47,86.58,53.35,91,100,13.82,RU,2020-08-23 23:39:09,overcast clouds
78,Santa Marta,11.24,-74.2,75.99,88,77,9.01,CO,2020-08-23 23:36:12,broken clouds
79,Linjiang,41.81,126.91,71.47,69,100,2.98,CN,2020-08-23 23:39:10,overcast clouds
80,Wajir,1.75,40.06,73.13,68,82,14.12,KE,2020-08-23 23:39:10,broken clouds
81,Sibolga,1.74,98.78,76.48,76,53,3.27,ID,2020-08-23 23:39:10,broken clouds
82,Metlaltoyuca,20.73,-97.85,87.8,66,40,11.41,MX,2020-08-23 23:39:10,scattered clouds
83,Kavieng,-2.57,150.8,76.78,92,100,10.78,PG,2020-08-23 23:39:11,heavy intensity rain
84,Medina,24.47,39.61,91.4,18,0,4.68,SA,2020-08-23 23:39:11,clear sky
85,Marawi,8.0,124.29,79.0,85,57,5.01,PH,2020-08-23 23:39:11,broken clouds
86,Montepuez,-13.13,39.0,66.42,76,80,6.33,MZ,2020-08-23 23:39:11,broken clouds
87,Petropavlovsk-Kamchatskiy,53.05,158.65,57.2,93,40,6.71,RU,2020-08-23 23:39:11,scattered clouds
88,Esperance,-33.87,121.9,48.2,100,64,9.17,AU,2020-08-23 23:39:12,broken clouds
89,Svetlogorsk,52.63,29.73,63.73,98,98,4.61,BY,2020-08-23 23:39:12,light rain
