City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
627,Baikunthpur,IN,72.9,overcast clouds,23.25,82.55,New Shree Annpurna Lodge
628,Coruripe,BR,72.41,few clouds,-10.13,-36.18,Pousada e Hotel Litoral Sul
634,Aksu,CN,72.84,clear sky,41.12,80.26,Pudong Holiday Hotel
636,Dongargaon,IN,75.16,overcast clouds,20.97,80.85,Santoshi Hotel
638,Urumqi,CN,68.0,few clouds,43.8,87.6,Hua Ling Grand Hotel Urumqi
639,Lata,PT,66.0,clear sky,40.16,-8.33,Casa Maquia
641,Erenhot,CN,66.61,clear sky,43.65,111.98,Erenhot Rurouni Youth Hostel
644,Pontianak,ID,76.87,overcast clouds,-0.03,109.33,Aston Pontianak Hotel & Convention Center
648,Amapala,HN,77.0,light rain,13.29,-87.65,Restaurante y Casa de Huespedes Veleros
649,Tarakan,ID,78.75,light rain,3.3,117.63,Hotel D' CaLia Tarakan
651,Gudalur,IN,72.03,light rain,9.68,77.27,Hotel Lemurian Heritage
655,Inhambane,MZ,64.56,clear sky,-23.86,35.38,Oceano
656,Chicama,PE,62.01,clear sky,-7.84,-79.15,Hospedaje Punta Cana PERU
657,Aljezur,PT,61.0,clear sky,37.32,-8.8,Amazigh Hostel
659,Chimbote,PE,60.94,clear sky,-9.09,-78.58,Hotel Briliá
661,Sawai Madhopur,IN,76.89,light rain,25.98,76.37,Vivanta Sawai Madhopur Lodge
663,Helong,CN,69.87,overcast clouds,42.54,129.0,Helong Hotel
664,Beira,MZ,60.8,clear sky,-19.84,34.84,Beira Terrace Hotel
668,Hambantota,LK,78.66,broken clouds,6.12,81.12,Bungalow 63
672,Teknaf,BD,79.77,light rain,20.86,92.31,Magnum Engineering & Construction
673,Zharkovskiy,RU,62.1,moderate rain,55.85,32.27,"Gostinitsa ""Mezha"""
674,Terme,TR,64.4,few clouds,41.21,36.97,OTEL GÜVEN TERME
677,Awbari,LY,75.81,clear sky,26.59,12.78,فندق أوباري
678,Zhaotong,CN,64.63,light rain,27.32,103.72,Jingguan Home
680,Pyinmana,MM,73.78,light rain,19.73,96.22,Red Horse Dairy Industries Limited.
681,Oblivskaya,RU,60.19,clear sky,48.54,42.5,Мотель Каприз
682,Quixada,BR,73.38,broken clouds,-4.97,-39.02,Hotel Vale das Pedras
683,Ponerihouen,NC,77.04,broken clouds,-21.08,165.4,Camping de Tiakan
684,Macapa,BR,79.27,light rain,0.04,-51.07,Atalanta Hotel
686,Odweyne,SO,72.66,broken clouds,9.41,45.06,Eng Hiirey House
687,Inirida,CO,73.24,overcast clouds,3.87,-67.92,Fuente del Guania Hotel de Lujo
688,Altamira,BR,72.5,light rain,-3.2,-52.21,Requinte Hotel
689,Maningrida,AU,77.67,clear sky,-12.07,134.27,Dhukurrdji Lodge
693,Piacabucu,BR,72.7,clear sky,-10.41,-36.43,Piaçabuçu News
695,Bissau,GW,78.89,overcast clouds,11.86,-15.6,Pensão Creola
698,Parana,AR,62.01,clear sky,-31.73,-60.52,Howard Johnson Plaza Hotel Mayorazgo
699,Nola,IT,77.0,few clouds,40.92,14.53,Pamaran Hotel
701,Villa Carlos Paz,AR,64.99,clear sky,-31.42,-64.5,Monte Carlo
703,Biharnagybajom,HU,66.2,broken clouds,47.22,21.23,Sárréti Vendégház
706,Olinda,BR,77.0,few clouds,-8.01,-34.86,Hotel 5 Sóis
708,Lorengau,PG,77.9,moderate rain,-2.02,147.27,Lorengau Harbourside Hotel
711,Puerto Lopez,CO,74.8,moderate rain,4.08,-72.96,Resguardo Indigena Maguare
712,Liverpool,GB,60.01,broken clouds,53.41,-2.98,Premier Inn Liverpool City Centre (Moorfields) hotel
713,Deli Tua,ID,75.2,scattered clouds,3.51,98.68,Hotel Deli River and restaurant Omlandia
714,Pyu,MM,73.26,light rain,18.48,96.43,Phyu Post Office
715,Manzhouli,CN,63.14,scattered clouds,49.6,117.43,Angala International Youth Hostel
717,Stratonion,GR,75.99,few clouds,40.51,23.82,Πανσιόν Καρβουνόσκαλα (Pension Karvounoskala)
718,San Carlos,VE,74.57,moderate rain,9.66,-68.58,Hotel Paternopoli
